title,name,stars,price,currency
Lo Más Vendido,FIFA 23 - Xbox One,10,$599,MXN
Lo Más Vendido,Paco Rabanne One Million Elixir Set Para Caballero Perfume EDP 100ML + Desodorante 150ml + Perfume de Bolsillo 10ML,,"$2,940",MXN
Lo Más Vendido,Microsoft 365 Family,23,"$1,499",MXN
Lo Más Vendido,Vichy Bloqueador Solar Biodegradable Para Cuerpo FPS 50+,2,$678,MXN
Lo Más Vendido,Baumanómetro Digital Automático de Brazo Microlife,4,"$1,212",MXN
Lo Más Vendido,Audífonos STF Aurum On Ear gris,,$319,MXN
Lo Más Vendido,Preventa - Beyond the Story: Crónica de 10 años de BTS,,$499,MXN
Lo Más Vendido,Pantalla Samsung 50 Pulgadas LED 4K UN50AU8000FXZX,64,"$7,695",MXN
Lo Más Vendido,Cargador Samsung 25w Tipo C pared blanco,15,$382,MXN
Lo Más Vendido,"Crema Hidratante Antiarrugas De Día Revitalift L'Oréal Paris,",5,$214,MXN
Lo Más Vendido,Teclado alámbrico HP 150 color negro,2,$229,MXN
Lo Más Vendido,Set de regalo Yuya,,$299,MXN
Lo Más Buscado,Apple Watch Ultra 49 mm Alpine naranja,,"$19,999",MXN
Lo Más Buscado,Huawei P60 Pro 256GB Blanco Telcel R7 + Watch GT 3,,"$25,999",MXN
Lo Más Buscado,"Mega Construx Pokemon, Pokébola Gigante, Juguete de Construcción para niños de 8 años en adelante",,$719,MXN
Lo Más Buscado,Bolsa LuLu Color azul Modelo 56351,,$799,MXN
Lo Más Buscado,Bocina Echo (4ta Generación) con Alexa Negra,16,"$2,499",MXN
Lo Más Buscado,iPhone 14 Plus 128GB Azul Telcel R9,,"$23,999",MXN
Lo Más Buscado,Cerave Barra Limpiadora Hidratante 4.5 Oz,5,$199,MXN
Lo Más Buscado,CD3 BTS Proof Compact Edition,,$949,MXN
Lo Más Buscado,Consola PlayStation 5 edición digital,,"$10,699",MXN
Lo Más Buscado,Audífonos Billboard Soul Clear TWS rosa,,$399,MXN
Lo Más Buscado,Ipad Air Wi-Fi 64GB Azul  (5Ta Gen),2,"$15,499",MXN
Lo Más Buscado,Headset Multiplataforma Turtle Beach RECON500 Camuflaje Blanco,,"$2,199",MXN
Expresa tu Pasión Musical 🎼,Altavoces Media Intemperie 2 vías NSAW150-Negro,,"$4,869",MXN
Expresa tu Pasión Musical 🎼,Bajo Eléctrico 4 CuerdasYamaha TRBX174- Azul,,"$7,099",MXN
Expresa tu Pasión Musical 🎼,Teclado controlador Midi Usb portable Yamaha PSSA50-negro,,"$3,999",MXN
Expresa tu Pasión Musical 🎼,Monitor de estudio Yamaha HS5 campo cercano biamplificado-negro,,"$9,319",MXN
Expresa tu Pasión Musical 🎼,Subwoofer Amplificado 800W Yamaha DXS12MKII,,"$32,599",MXN
Expresa tu Pasión Musical 🎼,Bajo Eléctrico 5 Cuerdas Pasivo-Activo TRBX605FM-Flameado Amber,,"$24,449",MXN
Expresa tu Pasión Musical 🎼,Bajo Eléctrico 4 Cuerdas Yamaha TRBX174-Sunburst,,"$7,099",MXN
Expresa tu Pasión Musical 🎼,Teclado Portátil 5 Octavas Yamaha PSR E473 -Negro,,"$15,139",MXN
Expresa tu Pasión Musical 🎼,Monitor de estudio Yamaha HS8W campo cercano biamplificado-blanco,,"$13,969",MXN
Expresa tu Pasión Musical 🎼,Bajo Eléctrico 5 Cuerdas Activo-Pasivo Yamaha TRBX505TLW-Café,,"$18,619",MXN
Expresa tu Pasión Musical 🎼,Sistema De Audio Portable Yamaha Stagepas 600BT,,"$38,479",MXN
Expresa tu Pasión Musical 🎼,Teclado profesional de 76 teclas Yamaha GENOS-negro,,"$117,599",MXN
Mundos entre Páginas,Hábitos Atómicos,7,$399,MXN
Mundos entre Páginas,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados,,$395,MXN
Mundos entre Páginas,El Viento Conoce Mi Nombre Edición dedicada Sanborns,,$399,MXN
Mundos entre Páginas,Cómo hacer que te pasen cosas buenas,13,$318,MXN
Mundos entre Páginas,"Descubre a los mejores amigos, arte antiestrés",,$199,MXN
Mundos entre Páginas,Las 48 leyes del poder,9,$585,MXN
Mundos entre Páginas,Paquete libros de Harry Potter,38,"$2,199",MXN
Mundos entre Páginas,La Biblioteca de la media noche,9,$399,MXN
Mundos entre Páginas,Los juegos del hambre. Balada de pajaros cantores y serpientes,1,$419,MXN
Mundos entre Páginas,"Padre rico, padre pobre. Edición 25 aniversario",,$399,MXN
Mundos entre Páginas,Five nights at freddy’s. La guía definitiva,,$389,MXN
Mundos entre Páginas,El poder del ahora,12,$389,MXN
Conexión Infinita,Samsung Galaxy S20 FE 5G 128GB Blanco Telcel R9,,"$11,999",MXN
Conexión Infinita,Motorola E22i 64GB Blanco Telcel R9,1,"$2,999",MXN
Conexión Infinita,Huawei Nova 11i 128GB Negro Telcel R9,,"$5,999",MXN
